"assay_id","standard_value","standard_units","canonical_smiles","tid","pref_name","organism"
61686,373.000000000000000000000000000000,nM,Cl.COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c3ccccc3)N2C,155,Dopamine transporter,Homo sapiens
61686,405.000000000000000000000000000000,nM,COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,155,Dopamine transporter,Homo sapiens
61686,3890.000000000000000000000000000000,nM,,155,Dopamine transporter,Homo sapiens
62811,470.000000000000000000000000000000,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C.CN4CCC(O)(C(C4)C(=O)c5ccc(C)cc5)c6ccc(C)cc6,155,Dopamine transporter,Homo sapiens
62809,717.000000000000000000000000000000,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C.CN4CCC(O)(C(C4)C(=O)c5ccc(C)cc5)c6ccc(C)cc6,155,Dopamine transporter,Homo sapiens
62810,1161.000000000000000000000000000000,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C.CN4CCC(O)(C(C4)C(=O)c5ccc(C)cc5)c6ccc(C)cc6,155,Dopamine transporter,Homo sapiens
62813,32.000000000000000000000000000000,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(\C=C/C)cc3)N2C,155,Dopamine transporter,Homo sapiens
62813,28.000000000000000000000000000000,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(\C=C\C)cc3)N2C,155,Dopamine transporter,Homo sapiens
62817,377.000000000000000000000000000000,nM,CN1C2CCC1[C@@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)C(F)(F)F,155,Dopamine transporter,Homo sapiens
62807,1190.000000000000000000000000000000,nM,CN1C2CCC1[C@@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)C(F)(F)F,155,Dopamine transporter,Homo sapiens
62817,0.990000000000000000000000000000,nM,CN1C2CCC1[C@@H](\C=C\Cl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62807,0.360000000000000000000000000000,nM,CN1C2CCC1[C@@H](\C=C\Cl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62817,2.600000000000000000000000000000,nM,CC[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens
62807,3.500000000000000000000000000000,nM,CC[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens
62817,3.200000000000000000000000000000,nM,COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens
62806,1.700000000000000000000000000000,nM,COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens
62817,2.800000000000000000000000000000,nM,CN1C2CCC1[C@@H](C=C)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62805,1.200000000000000000000000000000,nM,CN1C2CCC1[C@@H](C=C)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62817,19.000000000000000000000000000000,nM,CN1C2CCC1[C@H](C=CCl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62807,24.000000000000000000000000000000,nM,CN1C2CCC1[C@H](C=CCl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62817,1.300000000000000000000000000000,nM,CN1C2CCC1[C@@H](\C=C\Cl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62807,0.730000000000000000000000000000,nM,CN1C2CCC1[C@@H](\C=C\Cl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62817,10.500000000000000000000000000000,nM,CN1C2CCC1[C@@H]([C@@H](O)C(F)(F)F)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62807,9.200000000000000000000000000000,nM,CN1C2CCC1[C@@H]([C@@H](O)C(F)(F)F)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62817,525.000000000000000000000000000000,nM,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62807,1105.000000000000000000000000000000,nM,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens
62817,350.000000000000000000000000000000,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C,155,Dopamine transporter,Homo sapiens
62807,490.000000000000000000000000000000,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C,155,Dopamine transporter,Homo sapiens
