,assay_id,standard_value,standard_units,canonical_smiles,tid,pref_name,organism,affinity
0,61686,373.0,nM,Cl.COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c3ccccc3)N2C,155,Dopamine transporter,Homo sapiens,6.428291168191312
1,61686,405.0,nM,COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,155,Dopamine transporter,Homo sapiens,6.392544976785332
3,62811,470.0,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C.CN4CCC(O)(C(C4)C(=O)c5ccc(C)cc5)c6ccc(C)cc6,155,Dopamine transporter,Homo sapiens,6.327902142064283
6,62813,32.0,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(\C=C/C)cc3)N2C,155,Dopamine transporter,Homo sapiens,7.494850021680094
7,62813,28.000000000000007,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(\C=C\C)cc3)N2C,155,Dopamine transporter,Homo sapiens,7.552841968657781
8,62817,377.00000000000006,nM,CN1C2CCC1[C@@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)C(F)(F)F,155,Dopamine transporter,Homo sapiens,6.423658649794207
10,62817,0.99,nM,CN1C2CCC1[C@@H](\C=C\Cl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,9.00436480540245
12,62817,2.599999999999999,nM,CC[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens,8.585026652029182
14,62817,3.1999999999999997,nM,COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens,8.494850021680094
16,62817,2.8000000000000007,nM,CN1C2CCC1[C@@H](C=C)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,8.55284196865778
18,62817,19.000000000000004,nM,CN1C2CCC1[C@H](C=CCl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,7.721246399047171
22,62817,10.500000000000002,nM,CN1C2CCC1[C@@H]([C@@H](O)C(F)(F)F)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,7.978810700930062
24,62817,525.0000000000001,nM,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,6.279840696594043
26,62817,350.00000000000006,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C,155,Dopamine transporter,Homo sapiens,6.455931955649724
32,61353,12.899999999999997,nM,COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(F)cc3)N2C,155,Dopamine transporter,Homo sapiens,7.889410289700751
33,61353,311.99999999999994,nM,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4,155,Dopamine transporter,Homo sapiens,6.505845405981558
34,61353,8900.0,nM,COC(=O)C1[C@@H](C[C@H]2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,5.050609993355087
35,61353,21900.0,nM,COC(=O)C1[C@H](C[C@H]2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,4.6595558851598815
37,61353,10.899999999999999,nM,COC(=O)[C@H]1[C@H](CC2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,7.962573502059376
39,61353,3380.0000000000014,nM,COC(=O)[C@H]1[C@@H](CC2CC[C@H]1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,5.471083299722345
42,61353,1.08,nM,COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(I)cc3)N2C,155,Dopamine transporter,Homo sapiens,8.96657624451305
43,60180,406.0000000000001,nM,COC(=O)C1C2CCC(CC1c3ccc(O)c(O)c3)N2C,155,Dopamine transporter,Homo sapiens,6.391473966422806
44,61496,1.09,nM,Cl.OC1(N2CCCN=C2c3ccccc13)c4ccc5OCOc5c4,155,Dopamine transporter,Homo sapiens,8.962573502059376
46,61511,330.0,nM,CN(CCOC(c1ccccc1)c2ccccc2)C3CCN(CCCc4ccccc4)CC3,155,Dopamine transporter,Homo sapiens,6.481486060122113
47,61511,17.999999999999993,nM,C(CN1CCN(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4,155,Dopamine transporter,Homo sapiens,7.744727494896694
49,61494,12.3,nM,OC1(N2CCN=C2c3c(F)cccc13)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,7.910094888560602
51,61493,42.599999999999994,nM,OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,7.370590400897282
53,61511,319.99999999999994,nM,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c4ccccc4)CC2)cc1,155,Dopamine transporter,Homo sapiens,6.494850021680094
54,61503,59.000000000000014,nM,Oc1ccc(cc1)C2(O)N3CCCN=C3c4ccccc24,155,Dopamine transporter,Homo sapiens,7.229147988357855
55,61511,210.0,nM,CN(CCCc1ccccc1)C2CCN(CCOC(c3ccccc3)c4ccccc4)CC2,155,Dopamine transporter,Homo sapiens,6.6777807052660805
57,61511,390.0,nM,C(CNC1CCN(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4,155,Dopamine transporter,Homo sapiens,6.4089353929735005
58,61494,4.750000000000001,nM,COc1cccc2c1C3=NCCN3C2(O)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,8.323306390375134
60,61511,500.0,nM,Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c4ccccc4)C2)cc1,155,Dopamine transporter,Homo sapiens,6.301029995663981
61,61503,30.4,nM,COc1ccc(cc1)C2(O)N3CCCN=C3c4ccccc24,155,Dopamine transporter,Homo sapiens,7.517126416391246
62,61494,1260.0000000000002,nM,OC1(N2CCN=C2c3ccccc13)c4ccc5OCCOc5c4,155,Dopamine transporter,Homo sapiens,5.899629454882437
