,target_gene_symbol,target_id,affinity,SMILES
485,HTR2A,6,5.25,CCCN1CCC[C@H]2[C@H]1Cc1cn[nH]c1C2
486,HTR2A,6,6.5,NCCc1c[nH]c2c1cc(cc2)C(=O)N
487,Htr2a,6,6.25,NCCc1c[nH]c2c1cc(O)cc2
488,HTR2A,6,5.6,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
489,HTR2A,6,6.6,Clc1cccc(c1)N1CCN(CC1)CC(C(c1ccccc1)c1ccccc1)O
490,HTR2A,6,7.8,COc1ccc(cc1N1CCN(CC1)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
491,Htr2a,6,8.5,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
492,HTR2A,6,5.4,CN(C1CCc2c(C1)c1cc(ccc1[nH]2)NC(=O)c1ccc(cc1)F)C
493,HTR2A,6,10.22000027,Clc1ccc2c(c1)[C@H]1CN(C[C@@H]1c1c(O2)cccc1)C
494,HTR2A,6,6.9,COc1ccc2c(c1)c(c[nH]2)C1=CCNCC1
495,HTR2A,6,7.3,COc1ccc(cc1OCCN(C)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
496,HTR2A,6,5.9,Nc1c(Cl)cc(c2c1OCCO2)c1nn(c(=O)o1)C1CCN(CC1)CCc1ccccc1
497,HTR2A,6,6.9,CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O
498,Htr2a,6,7.7,O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl
499,HTR2A,6,7,CC(C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@@](O2)(NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C
500,HTR2A,6,8.2,C=CCN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N(C(=O)NCC)CCCN(C)C
501,HTR2A,6,8.2999999525,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
502,HTR2A,6,6.7,NCCc1c[nH]c2c1cc(OCC(=O)N1CCN(CC1)c1ccc(cc1)C#N)cc2
503,HTR2A,6,8.6,CCN(C(=O)N[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
504,HTR2A,6,8.75,CN1CCN(CC1)C1=c2cc(sc2=Nc2c(N1)cccc2)C
505,HTR2A,6,8.1,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3
506,HTR2A,6,7,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2c1cccc2
507,HTR2A,6,8.2,Oc1ccc2c(c1)c(CCCCN1CCC(=CC1)c1ccccc1)c[nH]2
508,HTR2A,6,8.3,CCN(C(=O)N[C@@H]1CN(C)[C@H]2[C@H](C1)c1cccc3c1c(C2)c[nH]3)CC
509,HTR2A,6,6.9,CCCCCCOc1nsnc1C1=CCCN(C1)C
510,HTR2A,6,9.15500021,O=C1Nc2c(C1)cc(c(c2)Cl)CCN1CCN(CC1)c1nsc2c1cccc2
511,HTR2A,6,8.6,O[C@]1(CCN2[C@@H](C1)c1cccc3c1[C@@H](C2)c1ccccc1CC3)C(C)(C)C
512,HTR2A,6,9,OC1CCc2n(C1)c(=O)c(c(n2)C)CCN1CCC(CC1)c1noc2c1ccc(c2)F
513,Htr2a,6,6.3,COc1ccc2c(c1)c(CCN(C)C)c([nH]2)c1ccccc1
514,Htr2a,6,8.7,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C
