,target_gene_symbol,target_id,affinity,affinity_class,SMILES
106,HTR1A,1,9.3,1,OC[C@H]1COc2c(O1)cccc2N1CCN(CC1)CCNC(=O)c1ccc(cc1)F
107,HTR1A,1,5.8,-1,CCCN1CCC[C@H]2[C@H]1Cc1cn[nH]c1C2
108,HTR1A,1,8,0,N1CCN(CC1)c1cccc2c1cccc2
109,HTR1A,1,9.85,1,NCCc1c[nH]c2c1cc(cc2)C(=O)N
110,HTR1A,1,9.4,1,NCCc1c[nH]c2c1cc(O)cc2
111,HTR1A,1,8.6,1,O=C(OCC1OC1)NCC[Si]([Si](C)(C)C)(C)C
112,HTR1A,1,8.899999619,1,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
113,HTR1A,1,7.2,0,Fc1ccc(cc1)C(CCCN1CCN(CC1)c1ncc(cn1)F)O
114,HTR1A,1,7.4,0,COc1ccccc1N1CCN(CC1)CCN1C(=O)CC2(CC1=O)CCCC2
115,HTR1A,1,7.7,0,Clc1cccc(c1)N1CCN(CC1)CC(C(c1ccccc1)c1ccccc1)O
116,HTR1A,1,6.1,-1,O=c1ccc2c([nH]1)c(c[nH]2)C1=CCNCC1
117,HTR1A,1,6.8,0,CCc1[nH]c2c(c1CCN(C)C)cc(cc2)OC
118,HTR1A,1,8.7,1,COC(=O)c1cccnc1N1CCN(CC1)CCCC(c1ccc(cc1)F)c1ccc(cc1)F
119,HTR1A,1,7.15,0,COc1ccc(cc1N1CCN(CC1)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
120,HTR1A,1,9.3,1,NCCc1c[nH]c2c1cc(cc2)c1onc(n1)Cc1ccc(cc1)NS(=O)(=O)C
121,HTR1A,1,7.2,0,OC[C@@H](c1ccc(cc1)F)NC1CCN(CC1)CCCc1c[nH]c2c1cc(cc2)n1cnnc1
122,HTR1A,1,9,1,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
123,HTR1A,1,8.9,1,Nc1ccc(cc1)CCN1CCN(CC1)c1cccc(c1)C(F)(F)F
124,HTR1A,1,10.1,1,CCCN([C@H]1Cc2c[nH]c3c2c(C1)c(cc3)C(=O)C)CCC
125,HTR1A,1,7.8,0,CN1CCC(CC1)c1c[nH]c2c1cc(cc2)NC(=O)c1ccc(cc1)F
126,HTR1A,1,6.3,-1,CN(C1CCc2c(C1)c1cc(ccc1[nH]2)NC(=O)c1ccc(cc1)F)C
127,HTR1A,1,8.15,1,Clc1ccc2c(c1)[C@H]1CN(C[C@@H]1c1c(O2)cccc1)C
128,HTR1A,1,9,1,COc1ccc2c(c1)c(c[nH]2)C1=CCNCC1
129,HTR1A,1,9.65,1,COc1ccc2c(c1)c(ccc2)N1CCN(CC1)CCNC(=O)c1ccc(cc1)F
130,HTR1A,1,10.35,1,COc1ccc2c(c1)c(ccc2)N1CCN(CC1)CCNC(=O)c1cccs1
131,HTR1A,1,9.2,1,C1COc2c(O1)cccc2N1CCN(CC1)C1Cc2c(C1)cccc2
132,HTR1A,1,6.3,-1,COc1ccc(cc1OCCN(C)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
133,HTR1A,1,6,-1,Nc1c(Cl)cc(c2c1OCCO2)c1nn(c(=O)o1)C1CCN(CC1)CCc1ccccc1
134,HTR1A,1,9.7,1,CCCN([C@@H]1CCc2c(C1)c1cc([nH]c1cc2)C#N)CCC
