,target_gene_symbol,target_id,affinity,SMILES
723,HTR2C,8,5.25,CCCN1CCC[C@H]2[C@H]1Cc1cn[nH]c1C2
724,HTR2C,8,5.95,NCCc1c[nH]c2c1cc(cc2)C(=O)N
725,Htr2c,8,7.300000000000001,NCCc1c[nH]c2c1cc(O)cc2
726,HTR2C,8,5.6,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
727,HTR2C,8,6.2,Clc1cccc(c1)N1CCN(CC1)CC(C(c1ccccc1)c1ccccc1)O
728,HTR2C,8,7.0,COc1ccc(cc1N1CCN(CC1)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
729,HTR2C,8,8.399999999999999,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
730,HTR2C,8,5.5,CN(C1CCc2c(C1)c1cc(ccc1[nH]2)NC(=O)c1ccc(cc1)F)C
731,HTR2C,8,6.8,COc1ccc2c(c1)c(c[nH]2)C1=CCNCC1
732,HTR2C,8,6.8,COc1ccc(cc1OCCN(C)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
733,HTR2C,8,5.3,Nc1c(Cl)cc(c2c1OCCO2)c1nn(c(=O)o1)C1CCN(CC1)CCc1ccccc1
734,HTR2C,8,7.0,CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O
735,HTR2C,8,7.6,O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl
736,HTR2C,8,6.1,CC(C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@@](O2)(NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C
737,HTR2C,8,6.2,C=CCN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N(C(=O)NCC)CCCN(C)C
738,HTR2C,8,8.05,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
739,HTR2C,8,8.100000000000001,CCN(C(=O)N[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
